feedback_id,order_id,customer_id,rating,feedback_category,sentiment,feedback_date
6256883,2850500678,97145527,3,Product Quality,Neutral,29-03-2024 02:45
7054828,7171106490,45835229,5,Delivery,Positive,17-08-2023 16:08
9923412,3829771237,25578646,5,App Experience,Positive,24-11-2023 00:19
1122348,459643984,68711385,5,Customer Service,Positive,17-07-2025 18:35
6342798,7511736375,68604506,3,Product Quality,Neutral,12-06-2023 15:57
9880814,9078729924,6283049,5,Customer Service,Positive,22-10-2024 21:38
9487139,3818630716,33845548,5,Customer Service,Positive,24-11-2024 02:27
5026321,8585415558,19595742,4,Delivery,Positive,02-07-2024 02:47
1801683,3164636338,62866964,4,Product Quality,Positive,26-06-2025 08:47
6254418,1069569617,89748638,1,Product Quality,Negative,29-12-2023 10:34
1157146,8830652374,46464717,5,Delivery,Positive,25-05-2025 06:17
5443531,192325016,13680237,5,Customer Service,Positive,09-08-2024 17:50
1944750,6018926249,87574868,3,App Experience,Neutral,21-11-2025 21:33
1014842,758171239,86681288,4,App Experience,Positive,11-03-2025 22:33
541788,3836331811,51219108,4,Customer Service,Positive,01-05-2025 16:50
3460314,2304449471,64970603,4,Customer Service,Neutral,06-10-2024 13:08
3736022,3049938096,64838864,4,Customer Service,Positive,14-05-2025 13:34
1894797,969452191,85646829,5,Delivery,Positive,16-09-2024 07:45
6766418,4088350993,27277351,4,Product Quality,Positive,11-05-2023 19:27
159100,2779255026,33425377,3,Delivery,Neutral,15-06-2023 05:37
8535442,3144468812,40010392,4,Customer Service,Positive,19-10-2023 15:06
7830323,4914116817,53790393,5,Customer Service,Positive,09-02-2025 18:50
7776348,7247346786,55198053,4,Product Quality,Neutral,25-07-2024 01:02
2190738,5025845984,15121021,5,App Experience,Positive,12-03-2023 00:01
2443146,494185217,85493600,5,Customer Service,Positive,13-08-2024 19:48
1940021,3209159169,72425987,4,Customer Service,Positive,23-02-2023 13:28
4152953,9365778969,2671648,4,Customer Service,Positive,20-10-2025 22:45
7130962,9709173476,50902428,4,Product Quality,Positive,15-05-2025 05:41
3122121,1736691823,13290305,1,Product Quality,Negative,20-07-2024 03:12
1583253,764690702,3120362,5,Customer Service,Positive,21-03-2025 21:10
7662517,7593471025,4686595,3,Customer Service,Neutral,17-07-2024 12:59
9971911,9853270521,17468859,4,Product Quality,Positive,13-02-2023 23:15
4609633,4288529188,34198966,5,Delivery,Positive,23-08-2024 23:10
1785374,3154879255,98054051,5,Delivery,Positive,10-07-2023 22:44
2271365,8120837867,30622634,4,App Experience,Positive,27-08-2023 12:59
1679207,5408470302,22738935,4,Product Quality,Positive,27-06-2024 02:04
5059726,6346754924,35066676,5,Customer Service,Positive,02-01-2025 01:21
1554310,5731804243,31521572,2,Product Quality,Negative,25-10-2023 21:41
8851312,7619720404,63548908,5,Customer Service,Positive,19-07-2024 15:38
7134409,1308703406,91338431,5,App Experience,Positive,31-03-2025 05:28
7138215,864738378,28588211,5,Customer Service,Positive,10-01-2024 08:21
